family,relative_path,sha256,size_bytes,format,internal_family,internal_subfamily,postscript_name,weight,width,italic,variable,axes,glyph_count,unicode_codepoint_count,version,copyright,designer,manufacturer,internal_license,internal_license_url,internal_license_state,internal_license_matches,parse_status,error
Noto Sans TC,staging/google-fonts/ofl/notosanstc/NotoSansTC[wght].ttf,864727d210d54f2537bbe23b3a839436c3992af72de9322af5270897246bd44f,11941968,TTF,Noto Sans TC,Thin,NotoSansTC-Thin,100,5,False,True,"[{""default"": 100.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}]",20950,20745,Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603,"(c) 2014-2021 Adobe (http://www.adobe.com/), with Reserved Font Name 'Source'.","Ryoko NISHIZUKA 西塚涼子 (kana, bopomofo & ideographs); Paul D. Hunt (Latin, Greek & Cyrillic); Sandoll Communications 산돌커뮤니케이션, Soo-young JANG 장수영 & Joo-yeon KANG 강주연 (hangul elements, letters & syllables)",Adobe,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Noto Sans JP,staging/google-fonts/ofl/notosansjp/NotoSansJP[wght].ttf,c2f3b4d463500a2ddcd3849cded1fceeb9fd6d1c32e6cbecd568453ba50fc68f,9589900,TTF,Noto Sans JP,Thin,NotoSansJP-Thin,100,5,False,True,"[{""default"": 100.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}]",17936,16732,Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603,"(c) 2014-2021 Adobe (http://www.adobe.com/), with Reserved Font Name 'Source'.","Ryoko NISHIZUKA 西塚涼子 (kana, bopomofo & ideographs); Paul D. Hunt (Latin, Greek & Cyrillic); Sandoll Communications 산돌커뮤니케이션, Soo-young JANG 장수영 & Joo-yeon KANG 강주연 (hangul elements, letters & syllables)",Adobe,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Noto Sans SC,staging/google-fonts/ofl/notosanssc/NotoSansSC[wght].ttf,a3041811a78c361b1de50f953c805e0244951c21c5bd412f7232ef0d899af0da,17772300,TTF,Noto Sans SC,Thin,NotoSansSC-Thin,100,5,False,True,"[{""default"": 100.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}]",31036,30890,Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603,"(c) 2014-2021 Adobe (http://www.adobe.com/), with Reserved Font Name 'Source'.","Ryoko NISHIZUKA 西塚涼子 (kana, bopomofo & ideographs); Paul D. Hunt (Latin, Greek & Cyrillic); Sandoll Communications 산돌커뮤니케이션, Soo-young JANG 장수영 & Joo-yeon KANG 강주연 (hangul elements, letters & syllables)",Adobe,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Noto Sans KR,staging/google-fonts/ofl/notosanskr/NotoSansKR[wght].ttf,194018e6b2b293a7964f037b25c0249ce1418bc9ab3c971060a03aa57861e252,10414588,TTF,Noto Sans KR,Thin,NotoSansKR-Thin,100,5,False,True,"[{""default"": 100.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}]",24964,23174,Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603,"(c) 2014-2021 Adobe (http://www.adobe.com/), with Reserved Font Name 'Source'.","Ryoko NISHIZUKA 西塚涼子 (kana, bopomofo & ideographs); Paul D. Hunt (Latin, Greek & Cyrillic); Sandoll Communications 산돌커뮤니케이션, Soo-young JANG 장수영 & Joo-yeon KANG 강주연 (hangul elements, letters & syllables)",Adobe,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Noto Serif JP,staging/google-fonts/ofl/notoserifjp/NotoSerifJP[wght].ttf,2fd527ba12b6a44ec30d796d633360da0aeba6c5d4af1304ce12bb4dc15a7dfc,13574352,TTF,Noto Serif JP,ExtraLight,NotoSerifJP-ExtraLight,200,5,False,True,"[{""default"": 200.0, ""max"": 900.0, ""min"": 200.0, ""name"": ""Weight"", ""tag"": ""wght""}]",17923,16726,Version 2.003-H1;hotconv 1.1.1;makeotfexe 2.6.0,(c) 2017-2024 Adobe (http://www.adobe.com/).,"Ryoko NISHIZUKA 西塚涼子 (kana & ideographs); Frank Grießhammer (Latin, Greek & Cyrillic); Wenlong ZHANG 张文龙 (bopomofo); Sandoll Communications 산돌커뮤니케이션, Soohyun PARK 박수현, Yejin WE 위예진 & Donghoon HAN 한동훈 (hangul elements, letters & syllables)",Adobe,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://openfontlicense.org",https://openfontlicense.org,MATCH,True,OK,
Roboto,"staging/google-fonts/ofl/roboto/Roboto-Italic[wdth,wght].ttf",9725a847af6b460ffca162ae66d20dad48b01876137947180b42d7dcd7887182,530944,TTF,Roboto,Italic,Roboto-Italic,400,5,True,True,"[{""default"": 400.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}, {""default"": 100.0, ""max"": 100.0, ""min"": 75.0, ""name"": ""Width"", ""tag"": ""wdth""}]",1326,927,Version 3.015; 2026,Copyright 2011 The Roboto Project Authors (https://github.com/googlefonts/roboto-classic),Christian Robertson,Google,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://openfontlicense.org",https://openfontlicense.org,MATCH,True,OK,
Roboto,"staging/google-fonts/ofl/roboto/Roboto[wdth,wght].ttf",d7598e12c5dbef095ff8272cfc55da0250bd07fbdecbac8a530b9b277872a134,488584,TTF,Roboto,Regular,Roboto-Regular,400,5,False,True,"[{""default"": 400.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}, {""default"": 100.0, ""max"": 100.0, ""min"": 75.0, ""name"": ""Width"", ""tag"": ""wdth""}]",1326,927,Version 3.015; 2026,Copyright 2011 The Roboto Project Authors (https://github.com/googlefonts/roboto-classic),Christian Robertson,Google,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://openfontlicense.org",https://openfontlicense.org,MATCH,True,OK,
Open Sans,"staging/google-fonts/ofl/opensans/OpenSans-Italic[wdth,wght].ttf",fe269381e992f32e135801740998544d6235061e37c93ec067ad2be3edd5b17b,583992,TTF,Open Sans,Italic,OpenSans-Italic,400,5,True,True,"[{""default"": 400.0, ""max"": 800.0, ""min"": 300.0, ""name"": ""Weight"", ""tag"": ""wght""}, {""default"": 100.0, ""max"": 100.0, ""min"": 75.0, ""name"": ""Width"", ""tag"": ""wdth""}]",1162,1010,Version 3.003,Copyright 2020 The Open Sans Project Authors (https://github.com/googlefonts/opensans),Monotype Design Team,Monotype Imaging Inc.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Open Sans,"staging/google-fonts/ofl/opensans/OpenSans[wdth,wght].ttf",36643644f318a812aab2d2ed3bb98f8cf0872527f835fe9398d95fe6b9adb878,532636,TTF,Open Sans,Regular,OpenSans-Regular,400,5,False,True,"[{""default"": 400.0, ""max"": 800.0, ""min"": 300.0, ""name"": ""Weight"", ""tag"": ""wght""}, {""default"": 100.0, ""max"": 100.0, ""min"": 75.0, ""name"": ""Width"", ""tag"": ""wdth""}]",1150,1010,Version 3.003,Copyright 2020 The Open Sans Project Authors (https://github.com/googlefonts/opensans),Monotype Design Team,Monotype Imaging Inc.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL",http://scripts.sil.org/OFL,MATCH,True,OK,
Inter,"staging/google-fonts/ofl/inter/Inter-Italic[opsz,wght].ttf",acd98e64795781b2058f07b18475e0ecee2a0fe2b42a49e2f9e37d0d6bf66ce6,906596,TTF,Inter,Italic,Inter-Italic,400,5,True,True,"[{""default"": 14.0, ""max"": 32.0, ""min"": 14.0, ""name"": ""Optical size"", ""tag"": ""opsz""}, {""default"": 400.0, ""max"": 900.0, ""min"": 100.0, ""name"": ""Weight"", ""tag"": ""wght""}]",2897,2813,Version 4.001;git-66647c0bb,Copyright 2016 The Inter Project Authors (https://github.com/rsms/inter),Rasmus Andersson,rsms,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://openfontlicense.org",https://openfontlicense.org,MATCH,True,OK,
