family,slug,source_path,source_commit,license,license_sha256_verified,license_metadata_warning_count,reserved_font_names,font_file_count,parsed_font_file_count,style_count,variable_font_count,axes,glyph_count_max,unicode_codepoint_union,latin_coverage,zh_cn_coverage,zh_tw_coverage,japanese_coverage,korean_coverage,cjk_unified_coverage,duplicate_sha_count,duplicate_postscript_count,packaging_warning_count,packaging_status,preview_status,final_status,final_reason
Noto Sans TC,notosanstc,ofl/notosanstc,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,Source,1,1,1,1,wght,20950,20745,1.0,0.719355,1.0,0.913669,0.0,0.732803,0,0,0,STANDARD,SKIPPED_LICENSE_REVIEW,APPROVED,
Noto Sans JP,notosansjp,ofl/notosansjp,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,Source,1,1,1,1,wght,17936,16732,1.0,0.672483,0.72705,1.0,0.0,0.607231,0,0,0,STANDARD,SKIPPED_LICENSE_REVIEW,APPROVED,
Noto Sans SC,notosanssc,ofl/notosanssc,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,Source,1,1,1,1,wght,31036,30890,1.0,1.0,1.0,1.0,0.0,0.999238,0,0,0,STANDARD,SKIPPED_LICENSE_REVIEW,APPROVED,
Noto Sans KR,notosanskr,ofl/notosanskr,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,Source,1,1,1,1,wght,24964,23174,1.0,0.56469,0.54345,0.859176,1.0,0.387671,0,0,0,STANDARD,SKIPPED_LICENSE_REVIEW,APPROVED,
Noto Serif JP,notoserifjp,ofl/notoserifjp,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,1,1,1,1,wght,17923,16726,1.0,0.672335,0.726897,1.0,0.0,0.607088,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Roboto,roboto,ofl/roboto,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,wdth;wght,1326,927,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Open Sans,opensans,ofl/opensans,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,wdth;wght,1162,1010,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Inter,inter,ofl/inter,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,opsz;wght,2933,2850,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Montserrat,montserrat,ofl/montserrat,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,wght,2791,1312,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Arimo,arimo,ofl/arimo,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,wght,3306,3010,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
Roboto Mono,robotomono,ofl/robotomono,5e35378e6bda803962ee6fd257e444a7d459660d,OFL-1.1,True,0,,2,2,2,2,wght,1006,876,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,STANDARD,ELIGIBLE_NOT_GENERATED,APPROVED,
