curation_rank,release_tier,selected_reason,family,slug,category,language_group,subsets,official_popularity_rank,popularity_score,strategic_value_score,page_depth_score,license_confidence_score,curation_score,seo_opportunity_score,style_count,variable_axis_count,license,reserved_font_names,source_path,source_url,is_brand_font,curation_eligibility
1,LAUNCH_150,CHINESE_CORE,Noto Sans TC,notosanstc,Sans Serif,Chinese,menu;chinese-traditional;cyrillic;latin;latin-ext;vietnamese,41,96.35,100.0,100.0,100.0,97.81,UNASSESSED,9,1,OFL-1.1,Source,ofl/notosanstc,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notosanstc,True,ELIGIBLE
2,LAUNCH_150,CJK_POPULAR,Noto Sans JP,notosansjp,Sans Serif,Japanese,menu;cyrillic;japanese;latin;latin-ext;vietnamese,9,99.35,85.0,100.0,100.0,96.61,UNASSESSED,9,1,OFL-1.1,Source,ofl/notosansjp,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notosansjp,True,ELIGIBLE
3,LAUNCH_150,CHINESE_CORE,Noto Sans SC,notosanssc,Sans Serif,Chinese,menu;chinese-simplified;cyrillic;latin;latin-ext;vietnamese,70,93.64,100.0,100.0,100.0,96.18,UNASSESSED,9,1,OFL-1.1,Source,ofl/notosanssc,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notosanssc,True,ELIGIBLE
4,LAUNCH_150,CJK_POPULAR,Noto Sans KR,notosanskr,Sans Serif,Korean,menu;cyrillic;korean;latin;latin-ext;vietnamese,37,96.73,90.0,100.0,100.0,96.04,UNASSESSED,9,1,OFL-1.1,Source,ofl/notosanskr,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notosanskr,True,ELIGIBLE
5,LAUNCH_150,CJK_POPULAR,Noto Serif JP,notoserifjp,Serif,Japanese,menu;cyrillic;japanese;latin;latin-ext;vietnamese,79,92.8,85.0,100.0,100.0,92.68,UNASSESSED,8,1,OFL-1.1,,ofl/notoserifjp,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notoserifjp,True,ELIGIBLE
6,LAUNCH_150,CATEGORY_BALANCE,Roboto,roboto,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;latin;latin-ext;math;symbols;vietnamese,2,100.0,55.0,100.0,100.0,91.0,UNASSESSED,18,2,OFL-1.1,,ofl/roboto,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/roboto,True,ELIGIBLE
7,LAUNCH_150,CATEGORY_BALANCE,Open Sans,opensans,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;hebrew;latin;latin-ext;math;symbols;vietnamese,3,99.91,55.0,100.0,100.0,90.94,UNASSESSED,12,2,OFL-1.1,,ofl/opensans,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/opensans,False,ELIGIBLE
8,LAUNCH_150,CATEGORY_BALANCE,Inter,inter,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;latin;latin-ext;vietnamese,5,99.72,55.0,100.0,100.0,90.83,UNASSESSED,18,2,OFL-1.1,,ofl/inter,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/inter,False,ELIGIBLE
9,LAUNCH_150,CATEGORY_BALANCE,Montserrat,montserrat,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,6,99.63,55.0,100.0,100.0,90.78,UNASSESSED,18,1,OFL-1.1,,ofl/montserrat,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/montserrat,False,ELIGIBLE
10,LAUNCH_150,CATEGORY_BALANCE,Arimo,arimo,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;hebrew;latin;latin-ext;vietnamese,13,98.97,55.0,100.0,100.0,90.38,UNASSESSED,8,1,OFL-1.1,,ofl/arimo,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/arimo,False,ELIGIBLE
11,LAUNCH_150,CATEGORY_BALANCE,Roboto Condensed,robotocondensed,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;latin;latin-ext;vietnamese,14,98.88,55.0,100.0,100.0,90.33,UNASSESSED,18,1,OFL-1.1,,ofl/robotocondensed,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/robotocondensed,True,ELIGIBLE
12,LAUNCH_150,CATEGORY_BALANCE,Roboto Mono,robotomono,Monospace,Other,menu;cyrillic;cyrillic-ext;greek;latin;latin-ext;vietnamese,16,98.69,55.0,100.0,100.0,90.21,UNASSESSED,14,1,OFL-1.1,,ofl/robotomono,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/robotomono,True,ELIGIBLE
13,LAUNCH_150,CATEGORY_BALANCE,Noto Sans,notosans,Sans Serif,Other,menu;cyrillic;cyrillic-ext;devanagari;greek;greek-ext;latin;latin-ext;vietnamese,20,98.32,55.0,100.0,100.0,89.99,UNASSESSED,18,2,OFL-1.1,,ofl/notosans,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notosans,True,ELIGIBLE
14,LAUNCH_150,CATEGORY_BALANCE,Raleway,raleway,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,23,98.04,55.0,100.0,100.0,89.82,UNASSESSED,18,1,OFL-1.1,Raleway,ofl/raleway,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/raleway,False,ELIGIBLE
15,LAUNCH_150,CJK_POPULAR,M PLUS 1p,mplus1p,Sans Serif,Japanese,menu;cyrillic;cyrillic-ext;greek;greek-ext;hebrew;japanese;latin;latin-ext;vietnamese,131,87.93,85.0,100.0,100.0,89.76,UNASSESSED,7,0,OFL-1.1,,ofl/mplus1p,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/mplus1p,False,ELIGIBLE
16,LAUNCH_150,CATEGORY_BALANCE,Nunito,nunito,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,25,97.85,55.0,100.0,100.0,89.71,UNASSESSED,18,1,OFL-1.1,,ofl/nunito,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/nunito,False,ELIGIBLE
17,LAUNCH_150,CATEGORY_BALANCE,Nunito Sans,nunitosans,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,26,97.75,55.0,100.0,100.0,89.65,UNASSESSED,18,4,OFL-1.1,,ofl/nunitosans,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/nunitosans,False,ELIGIBLE
18,LAUNCH_150,CATEGORY_BALANCE,Rubik,rubik,Sans Serif,Other,menu;arabic;cyrillic;cyrillic-ext;hebrew;latin;latin-ext,28,97.57,55.0,100.0,100.0,89.54,UNASSESSED,14,1,OFL-1.1,,ofl/rubik,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/rubik,False,ELIGIBLE
19,LAUNCH_150,CATEGORY_BALANCE,Roboto Slab,robotoslab,Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;latin;latin-ext;vietnamese,29,97.47,55.0,100.0,100.0,89.48,UNASSESSED,9,1,Apache-2.0,,apache/robotoslab,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/apache/robotoslab,True,ELIGIBLE
20,LAUNCH_150,CATEGORY_BALANCE,Oswald,oswald,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,17,98.6,55.0,95.0,100.0,89.41,UNASSESSED,6,1,OFL-1.1,,ofl/oswald,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/oswald,False,ELIGIBLE
21,LAUNCH_150,CATEGORY_BALANCE,Manrope,manrope,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;latin;latin-ext;vietnamese,33,97.1,55.0,100.0,100.0,89.26,UNASSESSED,7,1,OFL-1.1,,ofl/manrope,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/manrope,False,ELIGIBLE
22,LAUNCH_150,CHINESE_CORE,Noto Serif TC,notoseriftc,Serif,Chinese,menu;chinese-traditional;cyrillic;latin;latin-ext;vietnamese,194,82.04,100.0,100.0,100.0,89.22,UNASSESSED,8,1,OFL-1.1,,ofl/notoseriftc,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notoseriftc,True,ELIGIBLE
23,LAUNCH_150,CATEGORY_BALANCE,Ubuntu,ubuntu,Sans Serif,Other,menu;cyrillic;cyrillic-ext;greek;greek-ext;latin;latin-ext,35,96.91,55.0,100.0,100.0,89.15,UNASSESSED,8,0,UFL-1.0,,ufl/ubuntu,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ufl/ubuntu,False,ELIGIBLE
24,LAUNCH_150,CHINESE_CORE,Noto Serif SC,notoserifsc,Serif,Chinese,menu;chinese-simplified;cyrillic;latin;latin-ext;vietnamese,196,81.85,100.0,100.0,100.0,89.11,UNASSESSED,8,1,OFL-1.1,,ofl/notoserifsc,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/notoserifsc,True,ELIGIBLE
25,LAUNCH_150,CATEGORY_BALANCE,Merriweather,merriweather,Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,36,96.82,55.0,100.0,100.0,89.09,UNASSESSED,14,3,OFL-1.1,Merriweather,ofl/merriweather,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/merriweather,False,ELIGIBLE
26,LAUNCH_150,CATEGORY_BALANCE,Lora,lora,Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;math;symbols;vietnamese,39,96.54,55.0,100.0,100.0,88.92,UNASSESSED,8,1,OFL-1.1,Lora,ofl/lora,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/lora,False,ELIGIBLE
27,LAUNCH_150,CATEGORY_BALANCE,Mulish,mulish,Sans Serif,Other,menu;cyrillic;cyrillic-ext;latin;latin-ext;vietnamese,47,95.79,55.0,100.0,100.0,88.47,UNASSESSED,18,1,OFL-1.1,,ofl/mulish,https://github.com/google/fonts/tree/5e35378e6bda803962ee6fd257e444a7d459660d/ofl/mulish,False,ELIGIBLE
